"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/12/20 5:29 AM,"SonaliRanade","12716032",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Asadududdin Owaisi: RJD, Cong kept silent on CAA, NRC, said will help BJP. The results are in front of you; Are Muslims only voting machines?; https://t.co/uCqno4kGTL 

Prudent politics is one thing, reneging on a Constitutional promise is a new level of betrayal.",,,9,"1326675855066734594"
11/12/20 5:18 AM,"Santosh Singh","1512202530",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","JDU tally lowest in 15 yrs, Nitish ‘unwilling’ but BJP persuades him to stay Bihar CM https://t.co/ieTstBmBo0 via @IndianExpress",,,0,"1326673181390745602"
11/12/20 5:16 AM,"Krishna Kant Mishra","120515421","JPNadda","2990611686","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@JPNadda This time a young leader from Bihar BJP should be selected as deputy chief minister so that he will able to form the future path for BJP.",,,0,"1326672717597171713"
11/12/20 5:16 AM,"Zurhan","912893469403828225",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","The Congress will show a smiling face and the BJP will show a horror face in disrupting equality among the people. These two parties are two faces of a coin. 
- @asadowaisi 

#OwaisiIsOurPride #BiharElectionResults2020 #BiharElections #BiharElection #BiharElectionResults #Bihar https://t.co/9yb5O6TFwf",,,0,"1326672621652488193"
11/12/20 5:16 AM,"Bramha Kamal","310348902",,"-1","en","<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>","#BJP did politics on death of #SushantSinghRajput to keep hold of power in Bihar. 

All that shenanigan got them only to 125! 
Would have lost #BiharPolls if they hadn’t. 

Fun starts now. 
They will have to reveal #CBIWhoKilledSSR? https://t.co/RqDsw6MXEA",,,0,"1326672562290626561"
11/12/20 5:08 AM,"N R","319094260","ankurcheme","837248227","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@ankurcheme @Gujju_Er @desimojito @bihar_police Yes, this kind of dirty game may be played by those lost in election to defame Nitishji and BJP. Be aware and be vigilant.",,,0,"1326670761029984257"
11/12/20 5:07 AM,"Dennis Gonzalez","893042111246880768",,"-1","en","<a href='http://publicize.wp.com/' rel='nofollow'>WordPress.com</a>","After Successful Bihar Meeting Polls, Bengal Is Prime Focus For BJP: Kailash Vijayvargiya https://t.co/rmSQ9I2fmP",,,0,"1326670405025865729"
11/12/20 5:07 AM,"Maria Garcia","892599703216340992",,"-1","en","<a href='http://publicize.wp.com/' rel='nofollow'>WordPress.com</a>","After Successful Bihar Meeting Polls, Bengal Is Prime Focus For BJP: Kailash Vijayvargiya https://t.co/r7tv35ZOJe",,,0,"1326670391667011584"
11/12/20 5:04 AM,"S.sundararajan","1158822192",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","https://t.co/2dAIGYMt4A But I have a gut feeling @NitishKumar may surprise and reward @SushilModi as Chief Minister, considering his magnanimity and Himalayan patience ??",,,0,"1326669743864999936"
11/12/20 5:04 AM,"The Indian Express","38647512",,"-1","en","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","Bihar election results: 1st to 3rd phase, BJP made up for lost ground, RJD slipped

https://t.co/3y0gX5CYUq",,,2,"1326669550264352768"
